Title,Price,PID,Details
"3 Bedroom Apartment With Bq 
Central Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 100,000/year",Central Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"3 Bedroom Apartment With Bq 
Central Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 100,000/year",Central Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Luxury 3 Bedroom Apartment + Bq + Gym + Pool 
Banana Island Estate Ikoyi Lagos
 Luxury 3 Bedroom Apartment + Bq + Gym + Pool / Flat Apartment FOR Rent","₦ 22,000,000/year",Banana Island Estate Ikoyi Lagos,Luxury 3 Bedroom Apartment + Bq + Gym + Pool / Flat Apartment FOR Rent
"6 Bedroom Detached Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 6 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 80,000,000/year",Banana Island Estate Ikoyi Lagos,6 Bedroom Detached Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 29,990,000/year",Banana Island Estate Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 25,000,000/year",Banana Island Estate Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 30,000,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Newly Built 4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 Newly Built 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 40,000,000/year",Old Ikoyi Ikoyi Lagos,Newly Built 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"3 Bedroom Apartment With Bq 
Banana Island Road Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 25,000,000/year",Banana Island Road Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Apartment With Bq 
Off Adeola Odeku Street Victoria Island Lagos
 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 28,000,000/year",Off Adeola Odeku Street Victoria Island Lagos,4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"3 Bedroom Apartment With Bq 
Banana Island Estate , Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 24,999,999/year","Banana Island Estate , Ikoyi Lagos",3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Terrace Duplex 
Ahmadu Bello Way Victoria Island Lagos
 4 Bedroom Terrace Duplex / House FOR Rent","₦ 10,000,000/year",Ahmadu Bello Way Victoria Island Lagos,4 Bedroom Terrace Duplex / House FOR Rent
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT","$ 85,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT
"Semi Detached House In A Shared Premises+pool+gym 
Old Ikoyi Ikoyi Lagos
 Semi Detached House In A Shared Premises+pool+gym / House FOR Rent","₦ 25,000,000/year",Old Ikoyi Ikoyi Lagos,Semi Detached House In A Shared Premises+pool+gym / House FOR Rent
"Furnished 3 Bedroom Apartment With Bq 
Banana Island Ikoyi Lagos
 Furnished 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 20,000,000/year",Banana Island Ikoyi Lagos,Furnished 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Luxury 3 Bedroom Apartment+bq+gym+pool 
Banana Island Estate Ikoyi Lagos
 Luxury 3 Bedroom Apartment+bq+gym+pool / Flat Apartment FOR Rent","₦ 39,999,999/year",Banana Island Estate Ikoyi Lagos,Luxury 3 Bedroom Apartment+bq+gym+pool / Flat Apartment FOR Rent
"Newly Built 4 Bedroom Semi Detached Duplex With Bq 
Parkview Estate Ikoyi Lagos
 Newly Built 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 24,999,999/year",Parkview Estate Ikoyi Lagos,Newly Built 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Serviced 4 Bedroom Semi Detached Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 39,999,999/year",Banana Island Estate Ikoyi Lagos,Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 40,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Waterfront 4 Bedroom Apartment With Bq 
Banana Island Estate , Ikoyi Lagos
 Waterfront 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 60,001/year","Banana Island Estate , Ikoyi Lagos",Waterfront 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Banana Island Ikoyi Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 35,000,000/year",Banana Island Ikoyi Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"3 Bedroom Apartment With Bq 
Banana Island Estate Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 18,000,000/year",Banana Island Estate Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Renovated 6 Bedroom Fully Detached Mansion 
Diplomatic Zone Maitama Abuja
 Renovated 6 Bedroom Fully Detached Mansion / House FOR SALE","₦ 2,500,000,000",Diplomatic Zone Maitama Abuja,Renovated 6 Bedroom Fully Detached Mansion / House FOR SALE
"Newly Built 4 Bedroom Terrace Duplex 
Orchid Conservation Chevron Lekki Lagos
 Newly Built 4 Bedroom Terrace Duplex / House FOR Rent","₦ 5,000,000/year",Orchid Conservation Chevron Lekki Lagos,Newly Built 4 Bedroom Terrace Duplex / House FOR Rent
"Serviced 3 Bedroom Apartment 
Banana Island Ikoyi Lagos
 Serviced 3 Bedroom Apartment / Flat Apartment FOR Rent","₦ 25,000,000/year",Banana Island Ikoyi Lagos,Serviced 3 Bedroom Apartment / Flat Apartment FOR Rent
"4 Bedroom Massionette With Bq 
Ikoyi Lagos
 4 Bedroom Massionette With Bq / House FOR Rent","₦ 20,000,000/year",Ikoyi Lagos,4 Bedroom Massionette With Bq / House FOR Rent
"Self Serviced 4 Bedroom Flat 
Lekki Phase 1 Lekki Lagos
 Self Serviced 4 Bedroom Flat / Commercial Property FOR Rent","₦ 6,000,000/year",Lekki Phase 1 Lekki Lagos,Self Serviced 4 Bedroom Flat / Commercial Property FOR Rent
"Serviced 4 Bedroom Terrace Duplex 
Victoria Island Lagos
 Serviced 4 Bedroom Terrace Duplex / House FOR Rent","₦ 25,000,000/year",Victoria Island Lagos,Serviced 4 Bedroom Terrace Duplex / House FOR Rent
"Ground Floor Self Serviced 40sqm Shop 
Igbo Efon Lekki Lagos
 Ground Floor Self Serviced 40sqm Shop / Commercial Property FOR Rent","₦ 3,000,000/year",Igbo Efon Lekki Lagos,Ground Floor Self Serviced 40sqm Shop / Commercial Property FOR Rent
"5 Bedroom Semi Detached Duplex 
Ademola Adetokunbo Victoria Island Lagos
 5 Bedroom Semi Detached Duplex / House FOR Rent","₦ 30,000,000/year",Ademola Adetokunbo Victoria Island Lagos,5 Bedroom Semi Detached Duplex / House FOR Rent
"Office Space 
Lekki Right, Lekki Phase 1 Lekki Lagos
 Office Space / Commercial Property FOR Rent","₦ 3,500,000/year","Lekki Right, Lekki Phase 1 Lekki Lagos",Office Space / Commercial Property FOR Rent
"Furnished Serviced 2 Bedroom Apartment 
Jakande Lekki Lagos
 Furnished Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent","₦ 6,000,000/year",Jakande Lekki Lagos,Furnished Serviced 2 Bedroom Apartment / Flat Apartment FOR Rent
"5 Bedroom Fully Detached Duplex With Bq 
Chevron Lekki Lagos
 5 Bedroom Fully Detached Duplex With Bq / House FOR Rent","₦ 10,000,000/year",Chevron Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq / House FOR Rent
"3 Bedroom Apartment With Bq 
Victoria Island Lagos
 3 Bedroom Apartment With Bq / House FOR Rent","₦ 18,000,000/year",Victoria Island Lagos,3 Bedroom Apartment With Bq / House FOR Rent
