Title,Price,PID,Details
"Luxury 4 Bedroom Terrace Duplex With Bq 
Ikate Lekki Lagos
 Luxury 4 Bedroom Terrace Duplex With Bq / House FOR Sale","₦ 250,000,000",Ikate Lekki Lagos,Luxury 4 Bedroom Terrace Duplex With Bq / House FOR Sale
"4 Bedroom Semi Detached Duplex 
Chevron Toll Gate Lekki Lagos
 4 Bedroom Semi Detached Duplex / House FOR Sale","₦ 120,000,000",Chevron Toll Gate Lekki Lagos,4 Bedroom Semi Detached Duplex / House FOR Sale
"Luxury 5 Bedroom Detached Duplex With Bq 
Chevron Drive Lekki Lagos
 Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 350,000,000",Chevron Drive Lekki Lagos,Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"5 Bedroom Detached Duplex 
Ibadan Oyo
 5 Bedroom Detached Duplex / House FOR Sale","₦ 110,000,000",Ibadan Oyo,5 Bedroom Detached Duplex / House FOR Sale
"5 Bedroom Detached Duplex With Bq 
Megamound Estate Ikota Lekki Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 399,000,000",Megamound Estate Ikota Lekki Lagos,5 Bedroom Detached Duplex With Bq / House FOR Sale
"Beautiful Luxury 3 Bedroom Apartment With Bq 
Banana Island Ikoyi Lagos
 Beautiful Luxury 3 Bedroom Apartment With Bq / House FOR Sale","₦ 700,000,000",Banana Island Ikoyi Lagos,Beautiful Luxury 3 Bedroom Apartment With Bq / House FOR Sale
"Beautiful Serviced 2 Bedroom Apartment 
Ikate Lekki Lagos
 Beautiful Serviced 2 Bedroom Apartment / House FOR Sale","₦ 120,000,000",Ikate Lekki Lagos,Beautiful Serviced 2 Bedroom Apartment / House FOR Sale
"Beautiful Luxury Serviced 2 Bedroom Apartment 
Ologolo Lekki Lagos
 Beautiful Luxury Serviced 2 Bedroom Apartment / House FOR Sale","₦ 80,000,000",Ologolo Lekki Lagos,Beautiful Luxury Serviced 2 Bedroom Apartment / House FOR Sale
"Luxury 5 Bedroom Detached Duplex With Bq 
Osapa London Lekki Lagos
 Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 540,000,000",Osapa London Lekki Lagos,Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"Beautiful Luxury 4 Bedroom Terrace Duplex With Bq 
Ikate Lekki Lagos
 Beautiful Luxury 4 Bedroom Terrace Duplex With Bq / House FOR Sale","₦ 250,000,000",Ikate Lekki Lagos,Beautiful Luxury 4 Bedroom Terrace Duplex With Bq / House FOR Sale
"Luxury 5 Bedroom Detached Duplex With Bq 
Chevron Toll Gate Chevron Lekki Lagos
 Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 280,000,000",Chevron Toll Gate Chevron Lekki Lagos,Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"Distress 4 Bedroom Terraced Duplex With Bq 
Lekki Phase 1 Lekki Lagos
 Distress 4 Bedroom Terraced Duplex With Bq / House FOR Sale","₦ 180,000,000",Lekki Phase 1 Lekki Lagos,Distress 4 Bedroom Terraced Duplex With Bq / House FOR Sale
"Luxury 4 Bedroom Terrace Duplex 
Ologolo Lekki Lagos
 Luxury 4 Bedroom Terrace Duplex / House FOR Sale","₦ 120,000,000",Ologolo Lekki Lagos,Luxury 4 Bedroom Terrace Duplex / House FOR Sale
"Contemporary 5 Bedroom Semi Detached Duplex With Bq 
Ikate Lekki Lagos
 Contemporary 5 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 550,000,000",Ikate Lekki Lagos,Contemporary 5 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"Serviced 3 Bedroom Terrace 
Ajah Lagos
 Serviced 3 Bedroom Terrace / House FOR Sale","₦ 65,000,000",Ajah Lagos,Serviced 3 Bedroom Terrace / House FOR Sale
"Luxury 5 Bedroom Detached Duplex With Bq 
Chevron Lekki Lagos
 Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 350,000,000",Chevron Lekki Lagos,Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"Luxury 5 Bedroom Detached Duplex With Bq 
Chevron Toll Gate Chevron Lekki Lagos
 Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 320,000,000",Chevron Toll Gate Chevron Lekki Lagos,Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"Fully Detached 5 Bedroom Duplex 
Osapa London Lekki Lagos
 Fully Detached 5 Bedroom Duplex / House FOR Sale","$ 1,700,000,000",Osapa London Lekki Lagos,Fully Detached 5 Bedroom Duplex / House FOR Sale
"Smart 4 Bedroom Detached Duplex With 1 Bed Bq 
Main Idishin/jericho Gra Jericho Ibadan Oyo
 Smart 4 Bedroom Detached Duplex With 1 Bed Bq / House FOR SALE","₦ 185,000,000",Main Idishin/jericho Gra Jericho Ibadan Oyo,Smart 4 Bedroom Detached Duplex With 1 Bed Bq / House FOR SALE
"Newly Built 4 Semi Detached House 
Agungi Lekki Lagos
 Newly Built 4 Semi Detached House / House FOR Sale","₦ 170,000,000",Agungi Lekki Lagos,Newly Built 4 Semi Detached House / House FOR Sale
"Beautiful Luxury 5 Bedroom Detached Penthouse With Bq 
Ikate Lekki Lagos
 Beautiful Luxury 5 Bedroom Detached Penthouse With Bq / House FOR Sale","₦ 600,000,000",Ikate Lekki Lagos,Beautiful Luxury 5 Bedroom Detached Penthouse With Bq / House FOR Sale
"Contemporary Luxury 5 Bedroom Detached Duplex With Bq 
Chevron Lekki Lagos
 Contemporary Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 350,000,000",Chevron Lekki Lagos,Contemporary Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"A Corner Piece Land 
Arepo Ogun
 A Corner Piece Land / Land FOR Sale","₦ 95,000,000",Arepo Ogun,A Corner Piece Land / Land FOR Sale
"Fully Furnished 4 Bedroom Terraced Duplex With Bq 
Old Ikoyi Ikoyi Lagos
 Fully Furnished 4 Bedroom Terraced Duplex With Bq / House FOR Sale","₦ 785,000,000",Old Ikoyi Ikoyi Lagos,Fully Furnished 4 Bedroom Terraced Duplex With Bq / House FOR Sale
"Luxury 5 Bedroom Detached Duplex + Bq 
Ajah Lagos
 Luxury 5 Bedroom Detached Duplex + Bq / House FOR Sale","₦ 700,000,000",Ajah Lagos,Luxury 5 Bedroom Detached Duplex + Bq / House FOR Sale
"Contemporary Luxury 4 Bedroom Penthouse With Bq 
Banana Island Road Ikoyi Banana Island Ikoyi Lagos
 Contemporary Luxury 4 Bedroom Penthouse With Bq / House FOR Sale","$ 2,500,000",Banana Island Road Ikoyi Banana Island Ikoyi Lagos,Contemporary Luxury 4 Bedroom Penthouse With Bq / House FOR Sale
"Contemporary Luxury 5 Bedroom Detached Duplex With Bq 
Megamound Estate Ikota Lekki Lagos
 Contemporary Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 280,000,000",Megamound Estate Ikota Lekki Lagos,Contemporary Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"Luxury 5 Bedroom Terrace Duplex With Bq 
Ologolo Lekki Lagos
 Luxury 5 Bedroom Terrace Duplex With Bq / House FOR Sale","₦ 105,000,000",Ologolo Lekki Lagos,Luxury 5 Bedroom Terrace Duplex With Bq / House FOR Sale
"606sqm & 820sqm & 1330sqm Residential Plots 
Harris Drive Beside Vgc Lekki Lagos
 606sqm & 820sqm & 1330sqm Residential Plots / Land FOR SALE","₦ 134,000,000",Harris Drive Beside Vgc Lekki Lagos,606sqm & 820sqm & 1330sqm Residential Plots / Land FOR SALE
"Luxury Serviced 2 Bedroom Apartment 
Ikate Lekki Lagos
 Luxury Serviced 2 Bedroom Apartment / House FOR Sale","₦ 85,000,000",Ikate Lekki Lagos,Luxury Serviced 2 Bedroom Apartment / House FOR Sale
"4 Bedroom Semi Detached Duplex With Bq 
Ajah Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 100,000,000",Ajah Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"Newly Built 5 Bedroom Detached House With A Room Bq 
Pinewood Estate, Off Freedom Way, Lekki Ikate Lekki Lagos
 Newly Built 5 Bedroom Detached House With A Room Bq / House FOR Sale","₦ 450,000,000","Pinewood Estate, Off Freedom Way, Lekki Ikate Lekki Lagos",Newly Built 5 Bedroom Detached House With A Room Bq / House FOR Sale
"5 Bedroom Detached Duplex With Bq 
Royal Garden Estate Ajah Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 430,000,000",Royal Garden Estate Ajah Lagos,5 Bedroom Detached Duplex With Bq / House FOR Sale
