Title,Price,PID,Details
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 30,000,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Fully Detached Duplex 
Ikoyi Lagos
 4 Bedroom Fully Detached Duplex / House FOR SALE","₦ 680,000,000",Ikoyi Lagos,4 Bedroom Fully Detached Duplex / House FOR SALE
"3 Bedroom Apartment With Bq 
Victoria Island Lagos
 3 Bedroom Apartment With Bq / House FOR Rent","₦ 18,000,000/year",Victoria Island Lagos,3 Bedroom Apartment With Bq / House FOR Rent
"Beautiful 5 Bedroom Semi Detached Duplex 
Lekki Phase 1 Lekki Lagos
 Beautiful 5 Bedroom Semi Detached Duplex / House FOR Rent","₦ 25,000,000/year",Lekki Phase 1 Lekki Lagos,Beautiful 5 Bedroom Semi Detached Duplex / House FOR Rent
"Serviced 4 Bedroom Terrace Duplex 
Victoria Island Lagos
 Serviced 4 Bedroom Terrace Duplex / House FOR Rent","₦ 25,000,000/year",Victoria Island Lagos,Serviced 4 Bedroom Terrace Duplex / House FOR Rent
"Serviced 3 Bedroom Apartment 
Oniru Victoria Island Lagos
 Serviced 3 Bedroom Apartment / House FOR Rent","₦ 10,000,000/year",Oniru Victoria Island Lagos,Serviced 3 Bedroom Apartment / House FOR Rent
"5 Bedroom Fully Detached Duplex With Bq 
Chevron Lekki Lagos
 5 Bedroom Fully Detached Duplex With Bq / House FOR Rent","₦ 10,000,000/year",Chevron Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq / House FOR Rent
"4 Bedroom Massionette With Bq 
Ikoyi Lagos
 4 Bedroom Massionette With Bq / House FOR Rent","₦ 20,000,000/year",Ikoyi Lagos,4 Bedroom Massionette With Bq / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Ikate Lekki Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 11,500,000/year",Ikate Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Serviced 2 Bedroom Apartment 
Lekki Phase 1 Lekki Lagos
 Serviced 2 Bedroom Apartment / House FOR Rent","₦ 10,000,000/year",Lekki Phase 1 Lekki Lagos,Serviced 2 Bedroom Apartment / House FOR Rent
"Luxury Serviced 2 Bedroom Apartment 
Osapa London Lekki Lagos
 Luxury Serviced 2 Bedroom Apartment / House FOR Rent","₦ 7,000,000/year",Osapa London Lekki Lagos,Luxury Serviced 2 Bedroom Apartment / House FOR Rent
"2 Bedroom Apartment With Bq 
Lekki Phase 1 Lekki Lagos
 2 Bedroom Apartment With Bq / House FOR Rent","₦ 12,000,000/year",Lekki Phase 1 Lekki Lagos,2 Bedroom Apartment With Bq / House FOR Rent
"Serviced 3 Bedroom Apartment 
Victoria Island Lagos
 Serviced 3 Bedroom Apartment / House FOR Rent","₦ 12,000,000/year",Victoria Island Lagos,Serviced 3 Bedroom Apartment / House FOR Rent
"Luxury 2 Bedroom Apartment With Bq 
Ikate Lekki Lagos
 Luxury 2 Bedroom Apartment With Bq / House FOR Rent","₦ 7,500,000/year",Ikate Lekki Lagos,Luxury 2 Bedroom Apartment With Bq / House FOR Rent
"Luxury 4 Bedroom Maisonette With Bq 
Banana Island Ikoyi Lagos
 Luxury 4 Bedroom Maisonette With Bq / House FOR Rent","₦ 25,000,000/year",Banana Island Ikoyi Lagos,Luxury 4 Bedroom Maisonette With Bq / House FOR Rent
"Luxury 4 Bedroom Semi Detached Duplex With Bq 
Banana Island Ikoyi Lagos
 Luxury 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 30,000,000/year",Banana Island Ikoyi Lagos,Luxury 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Banana Island Ikoyi Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 27,000,000/year",Banana Island Ikoyi Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Chevron Toll Gate Lekki Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 7,000,000/year",Chevron Toll Gate Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Serviced 3 Bedroom Apartment 
Lekki Phase 1 Lekki Lagos
 Serviced 3 Bedroom Apartment / House FOR Rent","₦ 10,000,000/year",Lekki Phase 1 Lekki Lagos,Serviced 3 Bedroom Apartment / House FOR Rent
"Serviced 3 Bedroom Massionette 
Ikate Lekki Lagos
 Serviced 3 Bedroom Massionette / House FOR Rent","₦ 8,000,000/year",Ikate Lekki Lagos,Serviced 3 Bedroom Massionette / House FOR Rent
"Luxury 3 Bedroom Apartment With Bq 
Ikate Lekki Lagos
 Luxury 3 Bedroom Apartment With Bq / House FOR Rent","₦ 7,500,000/year",Ikate Lekki Lagos,Luxury 3 Bedroom Apartment With Bq / House FOR Rent
"Luxury 4 Bedroom Maisonette With Bq 
Oniru Victoria Island Lagos
 Luxury 4 Bedroom Maisonette With Bq / House FOR Rent","$ 24,000/year",Oniru Victoria Island Lagos,Luxury 4 Bedroom Maisonette With Bq / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Chevron Toll Gate Lekki Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 8,000,000/year",Chevron Toll Gate Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 30,000,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"5 Bedroom Detached Duplex With Bq 
Lekki Phase 1 Lekki Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 40,000,000/year",Lekki Phase 1 Lekki Lagos,5 Bedroom Detached Duplex With Bq / House FOR Rent
"Luxury Serviced 2 Bedroom Apartment 
Ikate Lekki Lagos
 Luxury Serviced 2 Bedroom Apartment / House FOR Rent","₦ 7,000,000/year",Ikate Lekki Lagos,Luxury Serviced 2 Bedroom Apartment / House FOR Rent
"Luxury 5 Bedroom Semi Detached Duplex With Bq 
Lekki Phase 1 Lekki Lagos
 Luxury 5 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 30,000,000/year",Lekki Phase 1 Lekki Lagos,Luxury 5 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"5 Bedroom Detached Duplex With Bq 
Ikate Lekki Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 15,000,000/year",Ikate Lekki Lagos,5 Bedroom Detached Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 30,000,000/year",Banana Island Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"Newly Built 3 Bedroom Apartment With Bq 
Victoria Island Lagos
 Newly Built 3 Bedroom Apartment With Bq / House FOR Rent","₦ 25,000,000/year",Victoria Island Lagos,Newly Built 3 Bedroom Apartment With Bq / House FOR Rent
"4 Bedroom Maisonette 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Maisonette / House FOR Rent","₦ 30,000,000",Old Ikoyi Ikoyi Lagos,4 Bedroom Maisonette / House FOR Rent
"2 Bedroom Apartment 
Ologolo Lekki Lagos
 2 Bedroom Apartment / House FOR Rent","₦ 6,000,000",Ologolo Lekki Lagos,2 Bedroom Apartment / House FOR Rent
"5 Bedroom Semi Detached Duplex 
Lekki Phase 1 Lekki Lagos
 5 Bedroom Semi Detached Duplex / House FOR Rent","₦ 30,000,000",Lekki Phase 1 Lekki Lagos,5 Bedroom Semi Detached Duplex / House FOR Rent
"4 Bedroom Terrace Duplex 
Orchid Lekki Lagos
 4 Bedroom Terrace Duplex / House FOR Rent","₦ 4,000,000",Orchid Lekki Lagos,4 Bedroom Terrace Duplex / House FOR Rent
"4 Bedroom Terrace Duplex 
Ologolo Lekki Lagos
 4 Bedroom Terrace Duplex / House FOR Rent","₦ 7,500,000/year",Ologolo Lekki Lagos,4 Bedroom Terrace Duplex / House FOR Rent
"4 Bedroom Massionette 
Ikate Lekki Lagos
 4 Bedroom Massionette / House FOR Rent","₦ 8,000,000/year",Ikate Lekki Lagos,4 Bedroom Massionette / House FOR Rent
"5 Bedroom Detached Duplex With Bq 
Ikate Lekki Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 10,000,000/year",Ikate Lekki Lagos,5 Bedroom Detached Duplex With Bq / House FOR Rent
"4 Bedroom Semi Detached Duplex With Bq 
Idado Lekki Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 6,500,000/year",Idado Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Newly Built 5 Bedroom Semi Detached Duplex 
Ikate Lekki Lagos
 Newly Built 5 Bedroom Semi Detached Duplex / House FOR Rent","₦ 11,000,000/year",Ikate Lekki Lagos,Newly Built 5 Bedroom Semi Detached Duplex / House FOR Rent
"2 Bedroom Apartment 
Ologolo Lekki Lagos
 2 Bedroom Apartment / House FOR Rent","₦ 6,000,000/year",Ologolo Lekki Lagos,2 Bedroom Apartment / House FOR Rent
"4 Bedroom Terrace Duplex 
Ologolo Lekki Lagos
 4 Bedroom Terrace Duplex / House FOR Rent","₦ 11,000,000/year",Ologolo Lekki Lagos,4 Bedroom Terrace Duplex / House FOR Rent
